"jaar";"gemeentecode";"gemeentenaam";"Risicogroep_aantal";"Risicogroep_aandeel";"Instroomkans"
2018;"GM1652";"Gemert-Bakel";440;1,9;5,3
2018;"GM1655";"Halderberge";470;2,1;5,6
2018;"GM1658";"Heeze-Leende";150;1,2;
2018;"GM1659";"Laarbeek";240;1,4;5
2018;"GM1667";"Reusel-De Mierden";110;1;
2018;"GM1669";"Roerdalen";210;1,3;4,9
2018;"GM1674";"Roosendaal";1570;2,8;7,5
2018;"GM1676";"Schouwen-Duiveland";520;2;7,7
2018;"GM1680";"Aa en Hunze";310;1,6;3,9
2018;"GM1681";"Borger-Odoorn";410;2,1;5,6
2018;"GM1684";"Cuijk";440;2,3;6,7
2018;"GM1685";"Landerd";180;1,5;5,5
2018;"GM1690";"De Wolden";250;1,3;6,9
2018;"GM1695";"Noord-Beveland";100;1,8;
2018;"GM1696";"Wijdemeren";330;1,8;5,5
2018;"GM1699";"Noordenveld";420;1,7;4,1
2018;"GM1700";"Twenterand";500;2;3,6
2018;"GM1701";"Westerveld";200;1,3;6,5
2018;"GM1702";"Sint Anthonis";90;1;
2018;"GM1705";"Lingewaard";520;1,5;5,7
2018;"GM1706";"Cranendonck";250;1,6;4,4
2018;"GM1708";"Steenwijkerland";660;2;6,4
2018;"GM1709";"Moerdijk";540;1,9;6,2
2018;"GM1711";"Echt-Susteren";420;1,7;4,5
2018;"GM1714";"Sluis";310;1,7;5,4
2018;"GM1719";"Drimmelen";260;1,2;4,2
2018;"GM1721";"Bernheze";350;1,5;5,9
2018;"GM1723";"Alphen-Chaam";130;1,6;
2018;"GM1724";"Bergeijk";180;1,3;
2018;"GM1728";"Bladel";190;1,2;5,2
2018;"GM1729";"Gulpen-Wittem";160;1,4;
2018;"GM1730";"Tynaarlo";350;1,4;6
2018;"GM1731";"Midden-Drenthe";380;1,5;5,5
2018;"GM1734";"Overbetuwe";620;1,7;3,7
2018;"GM1735";"Hof van Twente";400;1,5;6
2018;"GM1740";"Neder-Betuwe";310;1,8;4,2
2018;"GM1742";"Rijssen-Holten";350;1,3;7,8
2018;"GM1771";"Geldrop-Mierlo";570;1,9;2,8
2018;"GM1773";"Olst-Wijhe";180;1,3;6,8
2018;"GM1774";"Dinkelland";200;1;7
2018;"GM1783";"Westland";1370;1,7;5,2
2018;"GM1842";"Midden-Delfland";160;1;
2018;"GM1859";"Berkelland";510;1,5;4,7
2018;"GM1876";"Bronckhorst";390;1,4;4,1
2018;"GM1883";"Sittard-Geleen";1850;2,6;6,4
2018;"GM1884";"Kaag en Braassem";300;1,4;7,4
2018;"GM1891";"Dantumadiel";290;2;5,5
2018;"GM1892";"Zuidplas";630;2;4,9
2018;"GM1894";"Peel en Maas";460;1,4;6,3
2018;"GM1895";"Oldambt";720;2,6;7,3
2018;"GM1896";"Zwartewaterland";220;1,3;
2018;"GM1900";"Súdwest-Fryslân";1440;2,2;5,9
2018;"GM1901";"Bodegraven-Reeuwijk";420;1,6;6
2018;"GM1903";"Eijsden-Margraten";270;1,3;7,4
2018;"GM1904";"Stichtse Vecht";880;1,8;4,9
2018;"GM1911";"Hollands Kroon";630;1,7;5,2
2018;"GM1916";"Leidschendam-Voorburg";1460;2,6;6,9
2018;"GM1924";"Goeree-Overflakkee";560;1,5;5
2018;"GM1926";"Pijnacker-Nootdorp";680;1,8;5,2
2018;"GM1930";"Nissewaard";1630;2,6;8,7
2018;"GM1931";"Krimpenerwaard";710;1,7;5,2
2018;"GM1940";"De Fryske Marren";760;2;4,3
2018;"GM1942";"Gooise Meren";820;2;7
2018;"GM1945";"Berg en Dal";570;2,1;4,2
2018;"GM1948";"Meierijstad";1100;1,8;6,4
2018;"GM1949";"Waadhoeke";720;2,1;6,8
2018;"GM1950";"Westerwolde";370;2;6,7
2018;"GM1952";"Midden-Groningen";1200;2,7;7,4
2018;"GM1954";"Beekdaelen";480;1,7;5,9
2018;"GM1955";"Montferland";470;1,7;4,9
2018;"GM1959";"Altena";710;1,7;5,1
2018;"GM1960";"West Betuwe";580;1,5;3,6
2018;"GM1961";"Vijfheerenlanden";810;2;8
2018;"GM1963";"Hoeksche Waard";830;1,2;5,2
2018;"GM1966";"Het Hogeland";720;2;4,8
2018;"GM1969";"Westerkwartier";830;1,8;5,5
2018;"GM1970";"Noardeast-Fryslân";750;2,2;4,7
2018;"GM1978";"Molenlanden";400;1,2;3,5
